Age,Accessibility,EdLevel,Employment,Gender,MainBranch,YearsCode,YearsCodePro,Country,PreviousSalary,HaveWorkedWith,ComputerSkills,Employed
>35,No,PhD,0,Man,NotDev,40,30,Singapore,160932,C++;Python,2,0
<35,No,Undergraduate,1,Man,Dev,4,2,Israel,122580,Bash/Shell;Go;Java;Node.js;Python;Scala;SQL;Docker;Git;Kubernetes;Terraform;AWS;Google Cloud Platform;Microsoft Azure;DynamoDB;MongoDB;MySQL;PostgreSQL,18,1
<35,No,Undergraduate,1,Man,Dev,8,0,United States of America,103000,Assembly;C;Java;Kotlin;Rust;Docker;Git,7,0
>35,No,Undergraduate,1,Man,Dev,24,18,United Kingdom of Great Britain and Northern Ireland,129266,HTML/CSS;JavaScript;SQL;TypeScript;Git;Express;Gatsby;React.js;AWS;Heroku;PostgreSQL;SQLite,12,0
>35,No,Undergraduate,1,Man,Dev,25,15,United States of America,105000,HTML/CSS;JavaScript;PHP;Git;jQuery;React.js,6,0
>35,No,PhD,1,Man,Dev,10,8,Canada,151263,HTML/CSS;Python;R;Docker;Git;Flask;AWS;DynamoDB,8,0
<35,No,NoHigherEd,1,Man,NotDev,20,10,Netherlands,108098,Bash/Shell;C#;JavaScript;Node.js;PowerShell;Python;TypeScript;Docker;Git;Kubernetes;Puppet;Terraform;Unity 3D;ASP.NET;ASP.NET Core ;jQuery;React.js,17,1
<35,No,Master,0,Man,Dev,8,3,France,151337,Dart;JavaScript;Node.js;Docker;Git;Django;Vue.js;Google Cloud Platform;Firebase;PostgreSQL;SQLite,11,0
>35,Yes,Master,1,Man,Dev,38,26,Switzerland,134176,Bash/Shell;C#;HTML/CSS;JavaScript;PowerShell;SQL;TypeScript;Git;Angular;ASP.NET;ASP.NET Core ;jQuery;Microsoft Azure;Microsoft SQL Server,14,1
<35,No,Undergraduate,1,Man,Dev,12,6,United States of America,140000,C#;HTML/CSS;JavaScript;SQL;VBA;Angular.js;ASP.NET;ASP.NET Core ;jQuery;Microsoft Azure;DynamoDB;Elasticsearch;Microsoft SQL Server;SQLite,14,1
>35,No,Other,1,Man,NotDev,6,5,Israel,101916,Bash/Shell;Python;Docker;Git;Puppet;AWS;MySQL,7,0
>35,No,Master,0,Man,Dev,27,16,United States of America,200000,C#;HTML/CSS;JavaScript;Node.js;PHP;PowerShell;SQL;Git;Angular;Angular.js;ASP.NET;ASP.NET Core ;jQuery;Vue.js;Microsoft Azure;Elasticsearch;Microsoft SQL Server;MySQL;SQLite,19,1
>35,No,Undergraduate,1,Man,Dev,38,34,United States of America,200000,C#;F#;SQL;Git;Microsoft SQL Server,5,0
>35,No,Undergraduate,1,Man,Dev,41,24,United States of America,115000,C++;HTML/CSS;JavaScript;Node.js;Perl;PHP;SQL;Git;ASP.NET;Microsoft Azure;SQLite,11,0
<35,No,Undergraduate,1,Man,Dev,8,7,Lithuania,103408,C++;Go;JavaScript;Node.js;Python;TypeScript;Docker;Git;Kubernetes;React.js;AWS;DynamoDB;Elasticsearch;MongoDB;Redis,15,1
<35,No,Undergraduate,1,Man,NotDev,7,4,Israel,105072,Assembly;Python,2,0
>35,No,Master,0,Man,Dev,26,24,Denmark,115784,Bash/Shell;Groovy;HTML/CSS;Java;JavaScript;Ruby;SQL;TypeScript;Docker;Git;Angular;Spring;Google Cloud Platform;Oracle;PostgreSQL,15,1
<35,No,Master,1,Woman,NotDev,9,2,United States of America,193000,Ansible;Docker;Git;AWS;Microsoft SQL Server,5,0
>35,No,Undergraduate,0,Man,Dev,21,14,United Kingdom of Great Britain and Northern Ireland,103408,Bash/Shell;HTML/CSS;Java;JavaScript;Kotlin;Node.js;Objective-C;PHP;SQL;Swift;TypeScript;Docker;Git;Yarn;Express;React.js;AWS;MySQL;SQLite,19,1
>35,No,Undergraduate,1,Man,Dev,28,22,Switzerland,121979,Bash/Shell;C;C++;Docker;Git;DigitalOcean;Google Cloud Platform,7,0
<35,No,Undergraduate,1,Man,Dev,14,7,United Kingdom of Great Britain and Northern Ireland,103408,Java;Kotlin;Git;SQLite,4,0
>35,No,Undergraduate,1,Man,Dev,30,22,United States of America,165000,Bash/Shell;Groovy;HTML/CSS;Java;JavaScript;Kotlin;Node.js;PHP;Python;Ruby;SQL;TypeScript;Docker;Git;Terraform;Angular.js;jQuery;React.js;Ruby on Rails;Spring;Vue.js;AWS;DigitalOcean;DynamoDB;Elasticsearch;MongoDB;MySQL;PostgreSQL;Redis,29,1
>35,No,Undergraduate,1,Man,Dev,18,13,United States of America,160000,Bash/Shell;C;C++;JavaScript;Python;Git,6,0
<35,No,Undergraduate,1,Man,Dev,12,8,Israel,200409,Java;Scala;Docker;Git;Kubernetes;AWS;Couchbase;Elasticsearch;Microsoft SQL Server,9,0
>35,No,Undergraduate,0,Man,Dev,37,31,United States of America,185000,C#;Dart;Go;Java;JavaScript;Matlab;SQL;Xamarin;Angular;Angular.js;ASP.NET;jQuery;React.js;AWS;IBM Cloud or Watson;Microsoft Azure;Microsoft SQL Server,17,1
<35,No,Undergraduate,1,Man,NotDev,20,9,United States of America,107972,Bash/Shell;Perl;PowerShell;VBA;Docker;Git;AWS,7,0
>35,No,Undergraduate,1,Man,Dev,24,16,United States of America,120000,Bash/Shell;C#;HTML/CSS;JavaScript;Node.js;SQL;Git;Puppet;Express;React.js;Microsoft Azure;IBM DB2;PostgreSQL,13,1
<35,No,Master,1,Man,Dev,22,13,United States of America,115000,Bash/Shell;C;C#;HTML/CSS;JavaScript;Node.js;Python;Git;Unity 3D;AWS,10,1
<35,No,Undergraduate,1,Woman,Dev,21,12,United States of America,144000,Bash/Shell;Go;Groovy;HTML/CSS;Java;JavaScript;Node.js;Python;TypeScript;Git;Kubernetes;Angular;Angular.js;Express;React.js;Spring;AWS;Google Cloud Platform;Microsoft Azure;Elasticsearch;MongoDB;SQLite,22,1
>35,No,Undergraduate,1,Man,Dev,44,34,Canada,181515,Assembly;Bash/Shell;C;Go;Python;Rust;Git,7,0
>35,No,NoHigherEd,1,Man,Dev,22,22,United States of America,105000,Bash/Shell;HTML/CSS;Java;JavaScript;Python;Git,6,0
<35,No,Master,1,Man,Dev,14,10,United States of America,110000,Objective-C;Ruby;Swift;Git;Unity 3D;MySQL,6,0
>35,No,Undergraduate,1,Man,Dev,25,15,United States of America,120000,C#;HTML/CSS;JavaScript;Kotlin;Node.js;Objective-C;PowerShell;SQL;TypeScript;Git;ASP.NET;ASP.NET Core ;Express;jQuery;React.js;AWS;Microsoft Azure;Firebase;Microsoft SQL Server;Redis;SQLite,21,1
<35,No,Undergraduate,1,Man,Dev,12,5,India,217800,C++;HTML/CSS;Java;JavaScript;PHP;Python;SQL;Docker;Git;Angular;Angular.js;AWS;Google Cloud Platform;Elasticsearch;MongoDB;MySQL;Oracle,17,0
>35,No,PhD,1,Man,Dev,30,14,Netherlands,118908,JavaScript;Python;Docker;Git;Kubernetes;Django;React.js;AWS;SQLite,9,0
>35,Yes,Undergraduate,1,Man,Dev,26,16,Japan,179858,Bash/Shell;C;C++;Go;Groovy;Python;Ansible;Docker;Git;Yarn;Angular;React.js;Google Cloud Platform;MySQL;PostgreSQL;SQLite,16,0
>35,No,Master,1,Man,Dev,25,16,Switzerland,101649,C#;C++;Git;Unity 3D,4,0
>35,No,Other,1,Man,Dev,25,16,United States of America,195000,C;Go;Perl;Python;Git;Kubernetes;Terraform;Google Cloud Platform;MySQL;PostgreSQL;Redis,11,0
>35,No,PhD,1,Man,Dev,35,23,United Kingdom of Great Britain and Northern Ireland,155111,APL;Erlang;Go;Python;Chef;Git;Kubernetes;Flask;IBM Cloud or Watson,9,0
>35,No,Undergraduate,1,Man,Dev,14,12,France,123228,JavaScript;TypeScript;Git;Angular;Express;Elasticsearch;MongoDB,7,0
<35,No,Undergraduate,1,Man,Dev,10,6,United States of America,170000,C#;HTML/CSS;Java;JavaScript;PowerShell;SQL;TypeScript;Docker;Git;Unity 3D;Yarn;Angular;Angular.js;ASP.NET;ASP.NET Core ;jQuery;React.js;Spring;Vue.js;Heroku;Microsoft Azure;Firebase;Microsoft SQL Server;MySQL,24,1
<35,No,Master,1,Man,Dev,15,12,United States of America,135000,C#;C++;Python;Git;Django;React.js;AWS,7,0
